'ID','LotSize (sq ft)','Bedrooms','Bathrooms','Price ($)','YearBuilt','Neighborhood','Latitude','Longitude'
1,4215,5,2.5,648629,19xx,Midtown,'?',-118.42714
2,'?',6,'?',545688,'?',Downtown,'?',-118.241571
3,large,5,'?',117380,1939,Midtown,33.782887,-118.893239
4,large,'?',3.2047063656902006,277242,19xx,Outskirts,'?','?'
5,large,Three,2.5,587724,19xx,Downtown,'?','?'
6,6456,Three,'?',431905,1973,Midtown,33.982592,'?'
7,large,1,'?',281228,'?','?',33.932065,'?'
8,4190,'?',2.5,465551,1945,'?','?',-118.36556
9,10640,2,'?',297777,1918,Suburbs,34.308322,-117.786416
10,'?','?',2.6305776167492527,155887,1982,Uptown,34.629024,'?'
11,4266,'?',2.528055503228182,692636,19xx,'?',33.648603,-117.752103
12,'?',Three,3.6842895302301177,791032,19xx,Outskirts,34.102982,-117.81787
13,large,2,2.5,337800,'?',Uptown,'?',-118.150224
14,10416,5,3.039598189610488,405861,19xx,Midtown,33.938637,'?'
15,large,'?','?',787127,'?',Suburbs,33.504302,'?'
16,large,2,'?',373532,'?',Outskirts,'?',-118.44469
17,large,2,2.687027957629013,312013,19xx,Outskirts,34.379548,-117.561678
18,'?','?','?',638873,1998,Uptown,'?',-118.343117
19,large,1,1.2063261754842451,621118,1997,'?','?','?'
20,'?',Three,'?',333434,1932,Uptown,'?','?'
21,large,'?',2.5,517494,2008,Midtown,'?','?'
22,large,Three,3.0509261620831,769626,1996,Downtown,34.501817,-117.836697
23,large,Three,2.5,130446,'?','?',33.990921,-117.509223
24,'?','?',2.2242963582974626,629880,19xx,Suburbs,'?',-118.037883
25,'?',Three,2.5,329163,'?',Suburbs,33.958772,'?'
26,large,'?',2.5,231301,'?',Downtown,34.228133,'?'
27,4269,1,2.5,430165,1948,Uptown,'?',-117.902185
28,large,Three,'?',140442,19xx,'?',34.468586,-117.659508
29,'?','?',2.5806884232086125,649460,19xx,'?',34.273017,-118.396069
30,6131,3,2.009164486636376,272620,'?',Outskirts,34.182983,'?'
31,'?','?','?',227855,2013,Downtown,'?',-118.829037
32,large,Three,3.255128248283693,660755,19xx,Downtown,'?','?'
33,large,Three,3.5982853428382064,378888,'?',Uptown,'?',-117.530624
34,8379,5,'?',779324,19xx,Suburbs,34.136457,-117.625216
35,7321,'?',3.141277329659841,107168,1929,'?',33.579762,'?'
36,11499,Three,'?',180665,1945,Midtown,33.710171,-118.738385
37,large,Three,'?',176776,19xx,Midtown,33.82282,'?'
38,7969,Three,2.086560501935586,441177,2022,Suburbs,33.692088,'?'
39,7688,2,2.5,324011,19xx,Midtown,34.550987,-117.99045
40,'?',6,2.5,413645,19xx,Midtown,'?','?'
41,9072,'?',3.795702611174302,331369,19xx,Suburbs,34.206638,'?'
42,5121,5,2.921199345983491,481995,19xx,Midtown,33.511317,-118.994631
43,8387,Three,'?',129850,'?',Downtown,33.889621,-118.99751
44,'?','?','?',599344,19xx,Outskirts,33.79593,'?'
45,'?',Three,2.2627001609710655,234543,'?',Downtown,34.3463,'?'
46,'?','?',2.8226768439750067,562085,1951,Midtown,34.527087,'?'
47,9989,Three,3.1148495851960227,100065,1948,Suburbs,'?','?'
48,'?','?',2.379937546293629,162998,1982,Midtown,'?','?'
49,6976,'?',2.239559486073049,270434,19xx,Uptown,'?','?'
50,large,'?',2.595479538079984,512625,1960,Suburbs,'?',-118.624151
51,9998,Three,'?',697006,1960,Downtown,34.495653,'?'
52,9974,3,'?',399044,19xx,Suburbs,34.218093,-117.871601
53,large,6,2.5,530804,1956,'?',33.692407,-117.884149
54,large,Three,'?',354451,1934,Downtown,'?',-118.354741
55,'?','?',2.5,524956,19xx,Uptown,34.364612,-118.101914
56,large,2,1.8517843641740064,448190,19xx,'?','?','?'
57,'?',2,2.5,763983,1914,Midtown,33.637442,-118.909427
58,'?',6,2.5,122947,19xx,Outskirts,34.174862,-118.051407
59,'?',4,2.991774875609998,249113,1964,Suburbs,33.878825,'?'
60,'?','?',2.5,395010,19xx,Downtown,34.144585,'?'
61,9639,1,2.5,172860,1985,'?',33.977193,'?'
62,large,Three,2.7452496992816573,392133,'?',Downtown,34.27965,-118.924741
63,6185,Three,2.5,781716,1917,'?','?',-118.833756
64,6694,1,'?',318901,'?',Suburbs,'?','?'
65,'?','?',2.5,646977,19xx,Outskirts,'?','?'
66,'?','?',1.380746939238065,367971,1963,'?',33.533582,-118.961935
67,'?',2,2.72310707550377,104556,19xx,Midtown,33.615424,-118.134076
68,7944,Three,'?',690649,19xx,Midtown,'?','?'
69,large,Three,2.5,324039,2016,Suburbs,'?',-118.704169
70,'?',5,3.7006128522607815,508189,'?',Outskirts,34.55029,-118.047608
71,11107,'?','?',148129,1954,Uptown,'?','?'
72,'?',5,'?',379578,1942,'?','?',-118.22883
73,large,'?',3.006251435112133,615881,19xx,'?','?',-118.70466
74,'?','?',2.5,285033,19xx,Suburbs,'?',-118.318806
75,6194,Three,'?',265005,2002,Downtown,33.756885,-117.592495
76,'?','?',2.5542054430413375,361169,19xx,Outskirts,'?',-118.288474
77,'?','?',2.5,702850,1940,Midtown,33.742638,'?'
78,'?',5,2.5,629929,19xx,'?',33.752638,'?'
79,5632,'?','?',790544,'?',Midtown,33.590448,'?'
80,large,'?',2.5,299973,'?',Uptown,'?','?'
81,large,Three,3.1357485274783925,567517,19xx,Uptown,'?',-118.64921
82,11536,4,2.5,726470,1991,Suburbs,34.399767,'?'
83,'?','?',2.5,599610,19xx,Midtown,33.583971,-118.418059
84,large,5,'?',253406,19xx,Midtown,34.202459,'?'
85,'?','?',2.4332996949602475,321555,'?','?','?',-118.642369
86,'?',Three,'?',710609,1918,Uptown,'?','?'
87,7571,3,3.621628081720989,120116,1912,Midtown,'?',-118.198278
88,'?','?','?',729296,1928,Outskirts,34.055431,-117.648788
89,'?',Three,2.710818514642733,321283,'?',Suburbs,'?',-118.540285
90,5113,'?',2.5,368080,1994,Midtown,34.671306,-117.57992
91,large,Three,2.857878690927845,758159,1976,Outskirts,'?','?'
92,large,'?','?',594841,19xx,Suburbs,'?',-118.9007
93,'?',Three,1.6201111188031085,357488,19xx,Outskirts,34.338746,-117.82572
94,4611,Three,2.5,176754,'?',Outskirts,'?','?'
95,'?',Three,'?',702474,'?',Suburbs,33.965199,'?'
96,10196,5,2.5,440289,19xx,'?',34.235899,'?'
