ID,LotSize (sq ft),Bedrooms,Bathrooms,Price ($),YearBuilt,Neighborhood,Latitude,Longitude
1,?,?,3.5902749367987052,198334,?,Uptown,34.102549,-118.503423
2,?,1,?,721938,?,Suburbs,?,-118.686912
3,large,Three,1.732746103463072,643822,1900,Uptown,?,?
4,large,?,?,715965,?,Outskirts,34.578719,?
5,large,?,?,682464,19xx,Suburbs,?,?
6,11336,Three,?,485340,?,Uptown,?,-117.747963
7,large,?,1.210391009316488,145415,1927,Downtown,34.513915,-117.876567
8,6055,?,3.4069698386919853,115394,?,Downtown,34.263042,?
9,6584,?,?,665344,?,?,?,?
10,?,6,?,667194,2012,Downtown,33.988179,-118.539842
11,7249,?,2.5,366116,?,Downtown,?,-117.886168
12,large,4,2.5,658611,19xx,Uptown,?,-118.115
13,large,Three,?,462320,?,Downtown,?,?
14,9198,?,3.707175890606876,346592,?,Outskirts,?,-118.184701
15,large,Three,3.345872418723588,265215,?,?,33.791413,-118.844772
16,?,Three,?,103534,1993,Midtown,34.340548,?
17,large,?,2.5,628415,?,Suburbs,34.059873,?
18,large,Three,1.4623992459487472,357785,?,Uptown,?,-118.319254
19,large,4,?,791935,?,?,?,-118.733363
20,large,Three,?,593248,1959,Downtown,34.45807,-117.510458
21,7535,Three,2.534310029125338,796149,?,?,?,-118.82418
22,large,?,3.616023259579279,435168,1985,Downtown,33.543034,-117.792902
23,7454,?,?,689301,?,Downtown,?,-118.988904
24,large,?,2.5,171209,2013,Suburbs,33.656729,?
25,?,?,3.3843592678691294,103489,?,Suburbs,?,?
26,large,2,2.5,133297,19xx,Midtown,33.812672,?
27,large,?,3.240864876325438,343949,?,Outskirts,?,-118.294734
28,4882,?,?,401641,19xx,Suburbs,?,-117.644678
29,4027,?,?,351727,?,Outskirts,?,?
30,5033,2,?,303919,?,Downtown,?,?
31,?,Three,?,259281,19xx,Outskirts,34.251738,-118.825794
32,6811,Three,2.002671424826639,697034,19xx,Downtown,?,-117.94885
33,?,?,?,211848,?,Midtown,?,?
34,large,?,2.162835876731287,352225,?,Suburbs,34.762997,-118.486197
35,10220,?,2.5,445236,?,?,34.215013,-117.663075
36,?,?,?,123825,19xx,Suburbs,33.983556,-118.322273
37,?,Three,?,529447,19xx,Suburbs,34.03621,-118.688989
38,large,Three,2.5,618483,?,Uptown,?,?
39,7848,2,2.5,584607,?,?,?,-117.908515
40,large,?,?,379247,19xx,Midtown,?,-118.68469
41,large,?,2.5,381648,1957,?,?,-118.770573
42,large,4,?,613749,?,?,?,-118.27143
43,large,Three,2.043756212857769,183718,1949,Uptown,34.707312,?
44,large,?,2.5,355565,1945,Midtown,34.696971,?
45,8189,5,?,746596,1979,Suburbs,34.439594,-118.967492
46,?,5,?,306003,?,?,34.792686,?
47,large,?,3.5629499401363773,618524,1904,Midtown,34.340654,?
48,9217,6,?,476390,?,Outskirts,34.590161,-117.519528
49,?,?,2.5,783702,19xx,Outskirts,?,-118.138132
50,large,?,1.0748718624321028,254840,?,Downtown,34.334595,?
51,large,4,1.7687371082945411,564446,1919,Suburbs,?,-118.271104
52,?,?,1.3786757398712082,650387,1948,Outskirts,?,-118.722878
53,large,?,1.1005201935248625,192944,?,?,?,-118.024955
54,9806,3,2.5,611810,2009,Outskirts,34.462363,-118.828813
55,?,5,2.529803955190335,264767,19xx,Outskirts,33.988921,?
56,5023,2,?,646464,?,?,?,-118.13301
57,5098,?,?,760425,19xx,Downtown,33.885918,?
58,?,?,?,391219,19xx,Midtown,34.102245,?
59,5496,?,2.5,158259,19xx,Uptown,34.344032,-117.642858
60,?,?,2.5,570624,1946,Midtown,?,?
61,?,5,1.5258463274249787,790061,19xx,Uptown,?,-118.488182
62,large,?,?,410472,19xx,Uptown,34.377548,-117.519498
63,?,3,3.6063536826964118,431570,?,Outskirts,?,?
64,11567,1,?,612950,?,Outskirts,34.398317,?
65,large,5,2.5,612612,?,Downtown,?,?
66,?,Three,2.5690336912027676,632689,1946,Downtown,33.572187,?
67,10975,Three,?,256914,?,Outskirts,?,-118.259603
68,large,Three,2.135872263692798,322617,?,Midtown,?,?
69,5394,5,1.0912659321139202,354710,19xx,Midtown,?,-117.964401
70,11550,2,1.3669723795218482,484621,?,Midtown,34.275575,?
71,large,?,2.5,382811,19xx,Outskirts,?,-118.387707
72,11361,?,2.0684484498214997,577377,1987,Midtown,?,-117.812209
73,large,?,2.156603983524053,609882,2010,Suburbs,33.560024,?
74,large,?,2.761827456966506,652779,19xx,Midtown,?,-118.190122
75,?,4,1.8157921259470986,687324,?,Uptown,?,?
76,10051,Three,1.2597144984636022,702992,1966,?,?,?
77,8352,?,2.5,455279,19xx,Uptown,34.434514,?
78,10990,Three,?,529083,19xx,Suburbs,34.608808,?
79,large,?,2.8699564534905297,109830,?,?,?,?
80,?,2,?,495918,?,Midtown,34.199849,?
81,?,?,2.585874352343081,132669,19xx,?,33.813762,?
82,large,5,2.5,175854,?,Suburbs,?,-118.906923
83,8887,?,1.7212813810905088,237859,?,Midtown,?,?
84,6436,?,1.0734397549828247,639608,19xx,Suburbs,34.667244,-118.475076
