ID,LotSize (sq ft),Bedrooms,Bathrooms,Price ($),YearBuilt,Neighborhood,Latitude,Longitude
1,,Three,2.5,,1966,,34.094448,-117.965041
2,,,1.0356060997586667,?,1906,Uptown,,
3,5504,Three,3.134493608637357,,19xx,Suburbs,34.309955,-118.197014
4,,Three,2.040242672561163,755881,,,33.8914,-117.631134
5,,,1.132619636102262,,2008,,34.615371,
6,,4,2.4415814568317327,?,19xx,Suburbs,,-117.825999
7,10774,Three,2.5,346044,1973,Suburbs,33.646071,-118.202328
8,large,,,,2004,Outskirts,33.59747,
9,,Three,,511212,,Downtown,,-117.790117
10,,,2.5,?,19xx,Downtown,,
11,8860,Three,3.1515090310712828,?,,Outskirts,,
12,large,6,,491439,,Suburbs,33.695478,-117.743281
13,large,,2.5,514604,1940,Outskirts,33.535878,-117.602259
14,9905,6,2.5,,19xx,Outskirts,33.57027,
15,,,3.9510839429916027,,,Midtown,,-117.688787
16,4728,Three,2.5,?,,Outskirts,34.090116,
17,large,5,,,19xx,Downtown,,
18,large,,2.5,?,,,,
19,5785,1,2.5,729144,,,34.374189,-118.222057
20,10367,,,,19xx,,,
21,,Three,1.7273386174219918,348435,19xx,Downtown,,
22,,Three,,465791,19xx,Outskirts,,
23,5064,1,,,2013,Uptown,34.077998,-117.805317
24,6356,4,2.5,130818,,Outskirts,,
25,,Three,2.5,?,,Uptown,34.644125,-117.538324
26,,Three,2.5,?,1948,Suburbs,34.009841,-118.249847
27,large,2,,555330,,Outskirts,33.761359,
28,large,Three,,?,19xx,Downtown,,-118.684778
29,9188,Three,,382690,2014,,33.674536,
30,large,Three,2.5,309335,,Downtown,,-117.557122
31,large,,2.5,?,1939,Downtown,,-117.97757
32,11863,2,,476716,19xx,Downtown,,-117.659663
33,,,2.5,,,Uptown,33.531351,-117.94462
34,,Three,3.484667507092385,,1957,Outskirts,,
35,,,3.915787240017214,700583,19xx,Downtown,,
36,10754,,1.953448835066863,406003,19xx,Uptown,,-117.747123
37,large,3,,573798,19xx,Uptown,33.765765,
38,large,Three,,,2003,,,-118.468894
39,,Three,,587436,,Suburbs,34.794982,-118.413492
40,large,,,790044,,Uptown,,-118.697485
41,,2,2.5,,,,,
42,4260,4,1.190121632127435,,19xx,Downtown,34.265803,
43,large,Three,2.5,551470,,Uptown,34.415203,-118.3459
44,large,3,,521422,1902,Downtown,,-117.836165
45,7522,Three,,,1949,Uptown,33.658775,-118.442446
46,,6,2.5,306180,19xx,Uptown,,
47,large,,,?,,Outskirts,34.492862,-118.205998
48,large,Three,,?,1987,Midtown,34.73045,
49,large,Three,,,,Uptown,34.629063,-117.532635
50,4063,Three,,?,19xx,Downtown,34.416199,-118.799297
51,6476,4,2.5,374698,19xx,Uptown,,-117.965544
52,6113,3,2.5,?,,Midtown,34.226672,-118.481385
53,11484,Three,2.5,391004,19xx,Uptown,,
54,large,4,2.5,?,,Outskirts,34.73974,-118.647941
55,large,,2.5,?,19xx,Midtown,34.755851,-118.500354
56,8831,3,,?,1908,Downtown,34.640429,-118.603162
57,10747,,2.5,622734,,Midtown,,-117.630448
58,,,2.5,?,,Uptown,33.881851,-118.552722
59,large,4,,,19xx,Midtown,,-117.795946
60,,,1.0756078104080053,,19xx,,34.403603,-117.917972
61,4724,,1.5173731728229984,,1999,Downtown,34.300776,-117.736394
62,,,2.315713645883814,?,1998,Midtown,,-117.581657
63,11536,1,1.6600888897504733,441343,19xx,Uptown,,-118.845673
64,large,,,,19xx,Suburbs,,-118.889514
65,4714,,1.6896676872848087,?,,Outskirts,,
66,,,,?,1998,Midtown,33.95827,-117.815319
67,8032,,2.5304351156957687,?,,Suburbs,,-117.914467
68,large,3,2.430538278292993,?,19xx,Outskirts,33.967489,
69,8050,Three,2.5,,,Suburbs,,
70,large,Three,2.5,?,2015,Outskirts,,
71,7876,5,1.6272379900985374,366917,1972,Downtown,34.787307,-117.858577
72,8366,,,,,Downtown,33.939913,-118.111583
73,,Three,2.5,276230,,Outskirts,34.517566,-118.799901
74,large,1,2.5,?,19xx,Midtown,,
75,4810,Three,3.8882400521467697,?,2022,Midtown,34.140542,-117.990307
76,,,2.5,,1937,Uptown,34.582722,-117.666947
77,large,,1.969858367964175,636476,1926,,,-117.783588
78,10395,2,3.444768106224367,708950,1903,,,-118.073113
79,,Three,,,,Outskirts,,-118.157735
80,4052,Three,2.1175862585201397,699689,1929,,33.574574,
81,,,2.063518210493932,,2010,Downtown,33.561901,-118.617946
82,,4,,?,19xx,,,-117.568074
83,5079,Three,2.5,?,1991,Outskirts,,-118.358311
84,,,,,,Suburbs,,-117.987438
85,,Three,,319582,1991,Suburbs,34.580624,-118.630548
86,,Three,2.6713709539176227,?,1955,Uptown,,
87,,,2.5,?,19xx,Uptown,,
88,11375,,2.5,546068,,Outskirts,34.109565,
89,,,,?,19xx,Midtown,33.604551,-118.924454
90,large,3,2.5,?,19xx,Midtown,34.307326,
91,large,3,3.147466434243559,536308,19xx,Midtown,33.980102,-117.696081
92,,6,2.5,?,1936,Uptown,33.941124,
93,,6,2.5,318770,1969,Suburbs,,
94,large,Three,1.7231903956309602,366635,19xx,Uptown,33.774533,
