ID,LotSize (sq ft),Bedrooms,Bathrooms,Price ($),YearBuilt,Neighborhood,Latitude,Longitude
1,10693,,,508740,19xx,Downtown,,
2,4539,5,2.181395968336923,383583,2022,Suburbs,33.783901,
3,large,3,,343157,,Outskirts,33.93006,-118.251765
4,4006,,1.9458434152458448,546932,19xx,,33.685471,
5,large,,2.852906706636922,729379,19xx,Suburbs,34.571469,-118.86991
6,large,,,541806,,Suburbs,34.047682,-118.683691
7,large,2,,636875,19xx,Suburbs,33.843251,
8,large,1,2.5,494723,,Uptown,,
9,,Three,2.5,217054,,Downtown,34.021289,
10,large,1,,528855,,,,
11,large,Three,2.5,564385,,Outskirts,,-117.875358
12,large,Three,2.5,105043,19xx,Downtown,34.530785,
13,large,,2.5,716317,19xx,Suburbs,,-117.70494
14,,Three,2.5,193983,1992,Suburbs,34.454098,-117.556212
15,,,1.8091866994950063,249732,,Downtown,34.412929,-117.872578
16,,,,521397,1981,,,-117.862085
17,10190,,2.5,158624,,Downtown,,-118.157842
18,8869,,2.5,684773,,Downtown,,
19,,4,1.474977822071517,520730,1995,,,-118.306679
20,,2,2.5,486770,,Suburbs,34.610674,
21,,Three,,343159,19xx,Midtown,34.041398,-118.847444
22,,,,781552,,Uptown,,-118.131469
23,large,5,,511684,,Downtown,33.735573,-118.51683
24,9964,Three,3.1887828181412115,678304,19xx,Suburbs,34.45952,-118.153296
25,large,,3.8068517588889903,379453,,Suburbs,33.899995,
26,5918,Three,1.720651679386029,665453,,Midtown,,-118.969003
27,,Three,3.070253100681171,248872,19xx,Midtown,34.45607,-117.67024
28,8407,Three,2.5,757646,1959,Downtown,34.444869,
29,,Three,,597538,1934,,,-117.741878
30,11552,5,2.0934823062882764,296890,19xx,Outskirts,34.432926,
31,6913,Three,1.458902343606301,741559,19xx,Outskirts,,
32,11474,Three,,290897,1994,,33.979592,-117.565145
33,7038,5,1.121759388277042,476788,,Midtown,,
34,7336,,3.479656083984888,450906,1935,,,-118.814354
35,11825,2,3.2257812990878962,247631,1916,Outskirts,,
36,10517,,2.4459279792904107,586692,,Midtown,,-118.54692
37,large,,1.4373886882067453,738815,2010,,,
38,,,3.1710162639109503,381251,19xx,Outskirts,,-118.657987
39,large,,2.5,797852,1922,Uptown,34.516884,-118.629942
40,large,2,2.5,322900,2012,Suburbs,33.631098,-118.029212
41,,Three,,413642,,Midtown,34.569563,-118.402939
42,,Three,2.4499693945223617,741063,19xx,Uptown,33.577145,-118.962701
43,,Three,,378271,,Downtown,,
44,large,Three,2.5,244172,2003,Uptown,,-118.353977
45,large,Three,2.5,469184,,Outskirts,34.008133,
46,large,,,618574,,Downtown,34.671884,-118.539183
47,,,,342243,,,34.322568,-117.862569
48,large,5,,474825,1904,,34.402575,
49,,,,407309,,Downtown,33.538508,-117.683524
50,large,Three,3.338394889483731,720492,,Downtown,34.097585,-118.862573
51,7354,,2.5,248234,19xx,Downtown,34.378114,
52,4292,1,,504593,,Uptown,,-118.135139
53,large,5,3.9839400709512254,209491,1900,,,-117.722929
54,,5,1.4731620276300337,468681,,,,-118.852413
55,large,Three,1.8064379032113278,785158,19xx,Uptown,33.685373,
56,11273,,2.5,736167,,Suburbs,33.91133,-118.630691
57,large,,2.455032363478267,770331,,,33.961476,
58,large,,2.393072305558672,173455,,Downtown,33.952492,
59,large,Three,,474685,2004,Uptown,,-117.503505
60,,Three,1.3650755558971008,286870,19xx,Outskirts,,-117.994049
61,,,1.013116722823318,178999,,Uptown,33.513102,-117.584856
62,11784,Three,3.372827053215886,386461,19xx,Suburbs,,-117.891228
63,11887,2,,426990,19xx,Uptown,33.965806,
64,large,,2.5,483029,1975,Downtown,33.871008,
65,7628,Three,2.5,625735,2020,Uptown,,-117.832947
66,10056,1,,750411,,Uptown,,
67,large,Three,,158537,2019,,34.7508,-118.539832
68,11507,2,,472524,19xx,Suburbs,,-118.633737
69,,4,3.740959619573577,123996,19xx,Outskirts,,-118.837044
70,large,Three,,608391,19xx,Uptown,,-118.230563
71,7607,Three,2.5,659997,,Midtown,,-117.597819
72,large,Three,,112017,,Midtown,34.321415,
73,11945,Three,,234580,,Downtown,,
74,,2,,276692,1959,Downtown,34.528536,-118.805724
75,large,,,188322,19xx,Suburbs,,
76,large,1,2.5,229889,19xx,Suburbs,33.734642,-117.748058
77,8090,2,,181323,19xx,Uptown,33.755247,-117.72711
78,,6,,577258,2021,,34.445902,
79,large,Three,2.5,725454,19xx,Downtown,34.020941,-118.364446
80,7994,,,697342,1954,Downtown,34.54188,-117.533274
81,large,5,,625808,19xx,Midtown,,
82,,,,257079,,Outskirts,,
83,,Three,,354400,19xx,Midtown,,-118.021897
84,9925,Three,2.093019153469921,269548,19xx,Outskirts,,
85,9358,1,,685839,2021,Midtown,,
86,,3,2.5,673148,,Suburbs,34.128305,-118.288721
87,large,6,2.5,364862,19xx,Uptown,34.25674,-118.830374
88,,5,1.6003274271460854,155569,1987,Midtown,,-117.518267
89,9787,,,299129,2011,Uptown,,
90,10658,Three,,760548,,Suburbs,33.743799,-117.780642
91,,6,,229203,19xx,Suburbs,34.58001,
92,6965,2,3.660799238796137,597382,,Uptown,34.20124,
93,,,2.5,391168,1974,Uptown,,
94,4233,Three,,532900,,Downtown,,-117.951051
95,,Three,,617465,1935,Downtown,34.382644,-118.25304
96,large,3,3.6463599953813652,577668,19xx,Suburbs,33.815253,-118.609992
97,,Three,2.5,504549,,Midtown,,-118.679385
98,5408,Three,,734621,1906,,,
99,,4,2.5,408124,,Uptown,,-118.820695
100,8701,Three,2.5,458243,1900,Uptown,34.095225,-118.412979
101,,2,,276259,,Outskirts,,-118.406334
102,large,2,1.3945356400127036,785056,1928,Uptown,,
103,large,,2.5,555496,2015,,34.130991,
104,large,5,3.1105022998206575,560885,19xx,Suburbs,,
105,5573,Three,,168845,,Suburbs,,-118.735873
106,8671,,2.5,288101,,Suburbs,,-118.911517
107,,6,3.3555165366983357,783971,2001,Suburbs,,
108,4117,,,403655,2007,Outskirts,34.57223,-117.66716
109,,2,,272536,19xx,Midtown,,-118.961491
110,large,,2.5,249854,19xx,Uptown,,
111,10650,3,2.5,176751,,Midtown,34.028945,
112,large,Three,3.3939559882109487,323998,19xx,Downtown,,
113,,,2.3843494547023387,305892,19xx,Outskirts,,-118.234866
114,large,Three,,507079,1982,Midtown,34.557201,
115,7013,,2.5,506822,19xx,Suburbs,,-117.536356
116,8886,6,,460538,,Uptown,34.671546,-118.902354
117,,Three,,413113,,Downtown,33.85453,
118,large,Three,,684629,2001,Uptown,34.68971,
119,large,Three,,792632,,Uptown,,-117.54391
120,,,,742713,,,34.010582,
121,,,2.079661059578471,703865,,Midtown,,
122,large,4,2.3573291758468624,457332,19xx,,,
123,,6,,795940,,Outskirts,,-118.151365
124,large,Three,3.57978587439843,480723,,Outskirts,34.297907,-118.993983
125,large,,,587443,19xx,Outskirts,34.252318,
126,large,Three,,720551,19xx,Outskirts,,
127,large,,3.129119316662133,720085,2007,Outskirts,34.550695,-118.937849
128,8728,Three,,141408,19xx,,34.615897,
129,,,3.7929334156788697,451080,,,34.602857,
130,4308,Three,2.5,447008,,Midtown,33.623055,-118.191643
131,large,3,2.5,715921,2003,Uptown,34.360421,
132,,Three,3.0081512278165774,334369,1925,Outskirts,,
133,,6,3.394263561515822,275078,1922,,,-118.288387
134,6486,,2.5,756328,19xx,,,
135,8796,,2.6169734996743013,715091,1900,Midtown,,-118.772364
136,6586,Three,3.806563606351371,346050,,,,
137,6320,Three,1.1783556253290848,360606,19xx,Downtown,,
138,11813,3,,684931,1915,Uptown,,-118.02061
139,,Three,,329849,1954,Suburbs,,
140,,,,363933,1933,Outskirts,33.515935,
141,,,1.8396150791346944,794712,19xx,,34.395922,
142,8255,,2.5,786075,1984,Midtown,,-118.038275
143,10256,2,2.5,614201,19xx,Uptown,,-118.661357
144,,Three,1.7882311461463436,551448,19xx,Outskirts,34.606588,
145,large,,2.5,211030,,Uptown,,
146,large,,,678676,1984,Outskirts,34.150564,
147,large,Three,,168470,,Uptown,33.834271,-117.838989
148,,Three,2.2981665961288673,381021,,Downtown,34.695197,-117.757535
149,,2,1.9833102664736226,568238,19xx,Outskirts,,
150,large,3,2.5,308201,,Downtown,,
151,large,1,,266865,,,,
152,,Three,,288705,19xx,Midtown,,
153,large,Three,2.5,456055,2021,Midtown,,
154,large,,2.5,430881,1919,Outskirts,,
155,,Three,,476444,,Downtown,,
156,large,1,,652938,1912,Downtown,34.7979,
157,large,1,2.4925042128395156,546546,2019,Uptown,,-118.61044
158,large,Three,,566952,1995,Outskirts,,-118.077989
159,8776,,2.5,377603,19xx,Midtown,33.745685,
160,5996,,,143969,,Suburbs,,
161,,2,2.667167542635252,350986,,Suburbs,,
162,7952,1,2.5,548834,1952,,34.782888,-118.330407
163,6081,,,431671,,,33.88048,-117.721815
164,large,Three,1.964144418895326,219905,19xx,Outskirts,34.501255,
165,,,2.5,589527,1910,Uptown,,
166,large,Three,1.7073757531007625,710341,,Outskirts,34.015135,-118.661163
