CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
0.00632,18.0,-2.31,OTHER,0.538,,65.2,4.09,1.0,,15.3,,4.98,24.0
0.02731,0.0,7.07,RIVER,,,78.9,4.9671,2.0,242,17.8,,,21.6
,0.0,7.07,OTHER,0.469,7.185,61.1,4.9671,2.0,,,,,34.7
0.03237,0.0,2.18,OTHER,,6.998,45.8,6.0622,3.0,222',,394.63,,33.4
0.06905,0.0,2.18,RIVER,,7.147,,6.0622,,222',,,,36.2
0.02985,0.0,2.18,OTHER,,,,6.0622,,222',,394.12,,28.7
0.08829,12.5,7.87,OTHER,0.524,6.012,66.6,5.5605,5.0,311,,,12.43,22.9
0.14455,12.5,7.87,OTHER,0.524,6.172,,5.9505,,311,15.2,396.9,19.15,27.1
0.21124,12.5,7.87,OTHER,0.524,,,6.0821,,311,15.2,386.63,29.93,16.5
,12.5,7.87,OTHER,0.524,6.004,85.9,,,311,15.2,,17.1,18.9
0.22489,12.5,7.87,OTHER,,6.377,94.3,6.3467,,311,,392.52,,15.0
0.11747,12.5,7.87,RIVER,,6.009,82.9,6.2267,5.0,311,,,13.27,18.9
0.09378,12.5,7.87,RIVER,0.524,5.889,,5.4509,5.0,311,15.2,390.5,,21.7
0.62976,0.0,8.14,OTHER,,5.949,,4.7075,4.0,,,396.9,8.26,20.4
0.63796,0.0,8.14,RIVER,0.538,6.096,84.5,,4.0,307,21.0,380.02,,18.2
0.62739,,8.14,OTHER,,,,4.4986,4.0,307,,395.62,8.47,19.9
1.05393,0.0,8.14,OTHER,,5.935,,,4.0,,21.0,386.85,6.58,23.1
0.7842,0.0,8.14,OTHER,0.538,5.99,81.7,,,307,21.0,386.75,,17.5
0.80271,0.0,8.14,OTHER,0.538,5.456,36.6,3.7965,4.0,307,,,11.69,20.2
0.7258,0.0,8.14,RIVER,,5.727,,3.7965,4.0,307,,390.95,11.28,18.2
1.25179,0.0,8.14,OTHER,0.538,,98.1,3.7979,4.0,307,,376.57,21.02,13.6
0.85204,0.0,8.14,RIVER,,,,4.0123,,307,,392.53,13.83,19.6
1.23247,0.0,8.14,RIVER,0.538,,91.7,,,307,21.0,396.9,18.72,15.2
0.98843,0.0,8.14,RIVER,0.538,5.813,100.0,4.0952,4.0,307,,394.54,,14.5
0.75026,0.0,8.14,OTHER,,,94.1,4.3996,4.0,307,21.0,394.33,16.3,15.6
0.84054,0.0,8.14,RIVER,0.538,5.599,,,4.0,,21.0,303.42,16.51,13.9
0.67191,,8.14,OTHER,0.538,,90.3,4.682,4.0,,,376.88,,16.6
0.95577,0.0,8.14,OTHER,,6.047,88.8,4.4534,4.0,,21.0,306.38,17.28,14.8
0.77299,0.0,8.14,OTHER,0.538,6.495,,4.4547,4.0,307,,,,18.4
1.00245,0.0,8.14,OTHER,0.538,,87.3,-4.239,4.0,307,21.0,380.23,11.98,21.0
,0.0,8.14,RIVER,0.538,5.713,,4.233,,307,21.0,,22.6,12.7
1.35472,0.0,8.14,RIVER,0.538,6.072,100.0,4.175,4.0,,21.0,376.73,13.04,14.5
1.38799,0.0,8.14,OTHER,,5.95,,3.99,,,,232.6,,13.2
1.15172,0.0,8.14,OTHER,,5.701,95.0,3.7872,4.0,,21.0,358.77,,13.1
1.61282,0.0,8.14,OTHER,0.538,6.096,96.9,,,307,,248.31,,13.5
0.06417,0.0,5.96,OTHER,,5.933,68.2,,,279,19.2,,,18.9
0.09744,0.0,5.96,OTHER,,5.841,61.4,3.3779,,,19.2,,11.41,20.0
0.08014,0.0,5.96,RIVER,0.499,,41.5,,5.0,279,19.2,396.9,8.77,21.0
0.17505,0.0,5.96,RIVER,,5.966,30.2,,,279,19.2,393.43,10.13,24.7
0.02763,75.0,2.95,OTHER,,,21.8,,3.0,252,18.3,395.63,,30.8
0.03359,75.0,2.95,OTHER,0.428,7.024,15.8,5.4011,,,,395.62,,34.9
0.12744,0.0,6.91,OTHER,0.448,6.77,2.9,5.7209,3.0,,,,4.84,26.6
0.1415,0.0,6.91,RIVER,0.448,,6.6,5.7209,,,17.9,383.37,5.81,25.3
0.15936,0.0,6.91,OTHER,0.448,,6.5,5.7209,3.0,233,,394.46,7.44,24.7
0.12269,0.0,6.91,OTHER,0.448,6.069,40.0,5.7209,,233,17.9,,9.55,21.2
0.17142,0.0,6.91,OTHER,0.448,,33.8,5.1004,3.0,,17.9,396.9,10.21,19.3
0.18836,0.0,6.91,RIVER,0.448,,33.3,5.1004,3.0,233,17.9,396.9,14.15,20.0
0.22927,0.0,6.91,OTHER,,6.03,85.5,,3.0,,17.9,392.74,,16.6
0.25387,,6.91,OTHER,0.448,5.399,95.3,5.87,,233,17.9,396.9,,14.4
0.21977,0.0,6.91,RIVER,,5.602,,6.0877,3.0,,17.9,,16.2,19.4
0.08873,21.0,5.64,OTHER,0.439,5.963,45.7,6.8147,,,,,13.45,19.7
0.04337,21.0,5.64,OTHER,0.439,6.115,,6.8147,,243,16.8,,9.43,20.5
0.0536,21.0,5.64,OTHER,0.439,,21.1,6.8147,4.0,,16.8,,,25.0
0.04981,21.0,5.64,OTHER,0.439,5.998,,6.8147,,243,16.8,396.9,8.43,23.4
0.0136,75.0,4.0,RIVER,,5.888,47.6,7.3197,3.0,469,,,14.8,18.9
